"n","power_simu","power_g","power_p","power_w"
350,0.778166666666667,0.77857794233702,0.744363649923561,0.776624687765399
400,0.827833333333333,0.82508829406474,0.794734213026861,0.823022362137591
450,0.860666666666667,0.862645382748263,0.836201180360943,0.86058477363368
500,0.888333333333333,0.892716918740772,0.870026867230647,0.890745832336532
550,0.912666666666667,0.91661533199526,0.897397510815326,0.91478869682703
600,0.939333333333333,0.935481555685787,0.919386534941948,0.933830649064124
650,0.947833333333333,0.950286171142266,0.936938728958851,0.948824234089297
700,0.962666666666667,0.961840719271886,0.95086809773974,0.960567993207065
